"chromosome" "start" "end"
"19918" "chr7" 88259684 88315302
"6119" "chr14" 21554096 21613310
"12517" "chr2" 154710078 154718642
"17357" "chr5" 139728328 139746004
"9286" "chr17" 30559682 30561386
"17807" "chr6" 29685502 29711359
"4972" "chr12" 60114423 60129390
"22756" "chr8" 129933455 129939697
"5408" "chr12" 109417947 109441567
"18984" "chr7" 16534335 16552884
"13327" "chr3" 66777190 66785693
"22846" "chr9" 20946656 20947669
"12790" "chr2" 165609653 165683673
"22805" "chr9" 15156224 15162148
"8153" "chr16" 30849541 30851444
"22174" "chr8" 122728333 122752130
"16077" "chr5" 36235967 36346571
"1467" "chr1" 172949069 172959882
"1288" "chr1" 156944655 156946766
"13292" "chr3" 60305173 60433670
"4045" "chr11" 97551136 97560652
"10904" "chr19" 10280595 10282308
"6137" "chr14" 21895373 22267768
"9409" "chr17" 34259776 34276028
"11832" "chr2" 32988938 32991135
"9920" "chr17" 73600325 73609996
"20880" "chr7" 150822629 150835543
"23481" "chr9" 96894467 96918774
"13982" "chr3" 141966022 142058582
"1780" "chr10" 3211034 3227479
"4315" "chr11" 108781679 108812095
"7699" "chr15" 101904354 101927604
"15050" "chr4" 129575859 129581890
"9124" "chr17" 27326701 27340693
"19867" "chr7" 87534079 87547648
"18333" "chr6" 86959897 86978409
"5266" "chr12" 88019649 88033041
"14580" "chr4" 97577723 97709286
"4556" "chr11" 121563740 121578703
"21886" "chr8" 109729241 109736351
"23403" "chr9" 77899764 77913431
"16678" "chr5" 115461532 115548799
"19917" "chr7" 88202485 88250498
"4218" "chr11" 102766842 102786406
"15351" "chr4" 140070399 140077324
"1830" "chr10" 17443226 17445461
"9474" "chr17" 35804683 35810627
"4225" "chr11" 102931632 102939781
"9523" "chr17" 37079995 37084931
"1224" "chr1" 153524296 153566166
"22974" "chr9" 27106812 27137720
"19626" "chr7" 56559507 56693159
"19291" "chr7" 29610356 29617258
"7151" "chr15" 76912768 76984080
"10795" "chr19" 6992546 6996298
"21843" "chr8" 108929521 108930429
"2459" "chr10" 82693883 82800562
"14818" "chr4" 118100697 118105521
"16742" "chr5" 118527060 118605467
"10395" "chr18" 55145053 55147343
"18386" "chr6" 88666417 88675854
"13494" "chr3" 88976086 88979891
"5908" "chr13" 74833338 74946208
