"chr" "start" "end"
"1169" "chr16" 89569012 89569414
"1481" "chr15" 66646775 66647100
"101" "chr19" 31836839 31837879
"1028" "chr11" 22735348 22735642
"110" "chr1" 79856564 79856902
"932" "chr9" 30744099 30744602
"1524" "chr12" 4925575 4926141
"151" "chr17" 78597025 78598346
"854" "chr4" 41202760 41204409
"98" "chr2" 73223158 73223844
"631" "chr4" 43743591 43744086
"1275" "chr7" 54089196 54089441
"1218" "chr15" 59036534 59037500
"836" "chr10" 66688010 66688303
"461" "chr2" 118377409 118377797
"940" "chr4" 122929591 122929842
"403" "chr4" 134088628 134089238
"811" "chr12" 16896457 16897167
"1379" "chr7" 108467219 108467579
"483" "chr1" 77058939 77059270
"1366" "chr4" 134484033 134484286
"432" "chr5" 93237223 93237899
"171" "chr6" 115726306 115726709
"353" "chr1" 74343457 74344253
"630" "chr12" 8927234 8928076
